model, 2, 3, 4, 5, 6
benchmark_1,15,57,153,212,-,
benchmark_2,11,35,99,229,529,
benchmark_3,19,51,95,166,243,
benchmark_4,6,8,8,8,-,
benchmark_5,30,109,338,868,1780,
benchmark_6,16,66,228,706,2052,
benchmark_7,38,214,-,-,-,
benchmark_8,49,304,-,-,-,
benchmark_9,527,6950,-,-,-,
benchmark_10,112,1117,6429,-,-,
benchmark_11,29,154,649,-,-,
benchmark_12,36,195,-,-,-,
benchmark_13,106,932,-,-,-,
benchmark_14,17,25,25,-,-,
benchmark_15,18,77,217,486,-,
benchmark_16,50,244,758,-,-,
benchmark_17,121,923,6136,-,-,
benchmark_18,218,1887,-,-,-,
benchmark_19,17,59,162,353,654,
benchmark_20,30,128,415,1135,2672,
