model, 2, 3, 4, 5, 6
benchmark_1,0,0,0,0,-,
benchmark_2,0,0,0,0,0,
benchmark_3,0,0,0,0,0,
benchmark_4,0,0,0,0,-,
benchmark_5,0,0,3,13,0,
benchmark_6,0,0,3,22,0,
benchmark_7,0,4,1,-,-,
benchmark_8,1,25,5,-,-,
benchmark_9,1072,0,-,-,-,
benchmark_10,3,0,-,-,-,
benchmark_11,0,42,83,1,-,
benchmark_12,0,32,354,29,-,
benchmark_13,109,1149,1,-,-,
benchmark_14,0,0,0,-,-,
benchmark_15,0,0,0,0,-,
benchmark_16,1,13,38,1,-,
benchmark_17,3,0,-,-,-,
benchmark_18,19,0,-,-,-,
benchmark_19,0,0,0,0,0,
benchmark_20,0,9,30,46,0,
