model, 2, 3, 4, 5, 6
benchmark_1,0,1,303,54850,-,
benchmark_2,0,1,168,22569,-,
benchmark_3,0,0,0,2,58,
benchmark_4,0,0,5,559,-,
benchmark_5,0,8,7841,-,-,
benchmark_6,0,0,30,2938,-,
benchmark_7,0,0,0,4,58,
benchmark_8,0,2,1133,-,-,
benchmark_9,0,0,7,464,-,
benchmark_10,0,5,3588,-,-,
benchmark_11,0,1,451,68964,-,
benchmark_12,0,4,2031,-,-,
benchmark_13,0,2,890,-,-,
benchmark_14,0,0,177,28477,-,
benchmark_15,0,0,10,1127,-,
benchmark_16,0,0,48,5142,-,
benchmark_17,0,3,1722,-,-,
benchmark_18,0,4,2612,-,-,
benchmark_19,0,13,14861,-,-,
benchmark_20,0,9,6574,-,-,
benchmark_21,0,0,82,12454,-,
benchmark_22,0,0,38,4965,-,
benchmark_23,0,0,0,1,22,
benchmark_24,0,2,992,-,-,
benchmark_25,0,4,2270,-,-,
benchmark_26,0,0,152,25917,-,
benchmark_27,0,0,15,2419,-,
benchmark_28,0,24,15576,-,-,
benchmark_29,0,2,1047,-,-,
benchmark_30,0,0,32,2974,-,
benchmark_31,0,0,0,0,4,
benchmark_32,0,0,22,3292,-,
benchmark_33,0,5,2836,-,-,
benchmark_34,0,5,3425,-,-,
benchmark_35,0,0,2,160,5423,
