model, 2, 3, 4, 5, 6
benchmark_1,200,1084,1680,-,-,
benchmark_2,153,872,2721,3852,-,
benchmark_3,64,265,626,1157,1571,
benchmark_4,118,337,892,1323,-,
benchmark_5,210,1237,2442,-,-,
benchmark_6,154,592,1510,1644,-,
benchmark_7,23,63,149,413,604,
benchmark_8,183,1040,1988,-,-,
benchmark_9,72,201,592,829,-,
benchmark_10,301,1246,2063,-,-,
benchmark_11,291,1384,1885,-,-,
benchmark_12,317,977,1465,-,-,
benchmark_13,121,719,1040,-,-,
benchmark_14,143,875,1163,-,-,
benchmark_15,174,885,2443,2992,-,
benchmark_16,173,507,1175,1614,-,
benchmark_17,163,1083,1514,-,-,
benchmark_18,150,1309,2145,-,-,
benchmark_19,188,1262,2535,-,-,
benchmark_20,248,1576,3278,-,-,
benchmark_21,174,765,1070,-,-,
benchmark_22,143,691,1953,2509,-,
benchmark_23,50,167,342,782,956,
benchmark_24,199,1190,2105,-,-,
benchmark_25,228,1467,2673,-,-,
benchmark_26,190,711,1111,-,-,
benchmark_27,162,720,1004,-,-,
benchmark_28,194,1497,2888,-,-,
benchmark_29,102,589,681,-,-,
benchmark_30,91,519,1108,1362,-,
benchmark_31,140,512,1519,4095,4185,
benchmark_32,147,1046,1631,-,-,
benchmark_33,134,350,444,-,-,
benchmark_34,128,527,838,-,-,
benchmark_35,41,184,626,1737,2183,
