model, 2, 3, 4, 5, 6
20benchmark_1,15,57,153,212,-,
20benchmark_2,11,35,99,229,529,
20benchmark_3,19,51,95,166,243,
20benchmark_4,6,8,8,8,-,
20benchmark_5,30,109,338,868,1780,
20benchmark_6,16,66,228,706,2052,
20benchmark_7,38,214,1026,4327,16241,
20benchmark_8,49,304,1675,8294,38373,
20benchmark_9,527,6950,75676,511471,2942290,
20benchmark_10,112,1117,6429,30411,119219,
20benchmark_11,29,154,649,2595,9329,
20benchmark_12,36,195,904,3900,15305,
20benchmark_13,106,932,6866,38077,164999,
20benchmark_14,17,25,25,-,-,
20benchmark_15,18,77,217,486,-,
20benchmark_16,50,244,758,2154,5321,
20benchmark_17,121,923,6136,36423,185212,
20benchmark_18,218,1887,13334,78874,400356,
20benchmark_19,17,59,162,353,654,
20benchmark_20,30,128,415,1135,2672,
35benchmark_31,26,112,428,1434,4247,
35benchmark_32,45,293,1676,8547,-,
35benchmark_33,23,106,444,-,-,
35benchmark_34,33,180,867,-,-,
35benchmark_35,19,73,236,739,2193,
35benchmark_1,48,303,1719,8794,-,
35benchmark_2,32,185,892,3977,-,
35benchmark_3,19,76,211,605,1591,
35benchmark_4,22,103,381,1322,-,
35benchmark_5,54,380,2471,-,-,
35benchmark_6,25,124,501,1725,-,
35benchmark_7,12,35,96,248,613,
35benchmark_8,47,325,1979,-,-,
35benchmark_9,22,83,272,845,-,
35benchmark_10,47,336,2125,-,-,
35benchmark_11,47,322,1959,10416,-,
35benchmark_12,43,269,1476,-,-,
35benchmark_13,40,214,1036,-,-,
35benchmark_14,39,253,1222,5444,-,
35benchmark_15,32,180,789,3041,-,
35benchmark_16,25,121,460,1633,-,
35benchmark_17,41,278,1586,-,-,
35benchmark_18,52,334,2095,-,-,
35benchmark_19,51,377,2528,-,-,
35benchmark_20,60,472,3295,-,-,
35benchmark_21,39,238,1140,4651,-,
35benchmark_22,37,171,696,2529,-,
35benchmark_23,14,50,141,379,971,
35benchmark_24,48,349,2170,-,-,
35benchmark_25,52,407,2682,-,-,
35benchmark_26,34,209,1154,5356,-,
35benchmark_27,37,213,1037,4525,-,
35benchmark_28,57,427,2891,-,-,
35benchmark_29,29,153,696,-,-,
35benchmark_30,22,100,388,1367,-,
