model, 2, 3, 4, 5, 6
20benchmark_1,0.189,0.038,0.044,0.055,-,
20benchmark_2,0.008,0.024,0.067,0.139,0.28,
20benchmark_3,0.025,0.02,0.026,0.037,0.074,
20benchmark_4,0.002,0.003,0.002,0.002,-,
20benchmark_5,0.003,0.006,0.013,0.035,0.088,
20benchmark_6,0.004,0.006,0.016,0.054,0.218,
20benchmark_7,0.007,0.062,1.573,32.505,1281.039,
20benchmark_8,0.008,0.106,4.170,281.258,13972.504,
20benchmark_9,0.013,0.14,4.300,274.311,15082.206,
20benchmark_10,0.004,0.023,0.198,3.253,38.160,
20benchmark_11,0.002,0.009,0.076,1.319,5.316,
20benchmark_12,0.022,0.148,1.369,29.006,557.459,
20benchmark_13,0.12,0.336,1.554,10.284,118.016,
20benchmark_14,0.003,0.003,0.004,-,-,
20benchmark_15,0.001,0.001,0.001,0.002,-,
20benchmark_16,0.013,0.026,0.136,1.565,5.303,
20benchmark_17,0.004,0.034,0.882,27.215,738.436,
20benchmark_18,0.04,0.473,13.232,467.072,11869.332,
20benchmark_19,0.002,0.002,0.006,0.018,0.045,
20benchmark_20,0.001,0.003,0.009,0.038,0.113,
35benchmark_31,0.002,0.007,0.057,0.579,4.032,
35benchmark_32,0.012,0.328,22.229,3292.153,-,
35benchmark_33,0.041,5.258,2836.460,-,-,
35benchmark_34,0.03,5.057,3425.474,-,-,
35benchmark_35,0.003,0.059,2.025,160.256,5423.175,
35benchmark_1,0.322,1.031,303.280,54850.439,-,
35benchmark_2,0.09,1.163,168.271,22569.321,-,
35benchmark_3,0.019,0.079,0.317,2.368,58.068,
35benchmark_4,0.009,0.408,5.419,559.105,-,
35benchmark_5,0.067,8.083,7841.159,-,-,
35benchmark_6,0.016,0.417,30.182,2938.575,-,
35benchmark_7,0.004,0.014,0.187,4.479,58.087,
35benchmark_8,0.043,2.010,1133.550,-,-,
35benchmark_9,0.01,0.193,7.224,464.000,-,
35benchmark_10,0.067,5.328,3588.358,-,-,
35benchmark_11,0.021,1.219,451.144,68964.435,-,
35benchmark_12,0.038,4.460,2031.439,-,-,
35benchmark_13,0.028,2.202,890.036,-,-,
35benchmark_14,0.014,1.015,177.071,28477.234,-,
35benchmark_15,0.016,0.18,10.071,1127.280,-,
35benchmark_16,0.028,0.77,48.008,5142.427,-,
35benchmark_17,0.03,3.511,1722.416,-,-,
35benchmark_18,0.031,4.138,2612.166,-,-,
35benchmark_19,0.077,13.158,14861.476,-,-,
35benchmark_20,0.058,9.380,6574.012,-,-,
35benchmark_21,0.014,0.776,82.108,12454.474,-,
35benchmark_22,0.011,0.458,38.067,4965.436,-,
35benchmark_23,0.002,0.01,0.134,1.475,22.374,
35benchmark_24,0.024,2.545,992.484,-,-,
35benchmark_25,0.027,4.169,2270.247,-,-,
35benchmark_26,0.016,0.851,152.020,25917.219,-,
35benchmark_27,0.007,0.227,15.272,2419.007,-,
35benchmark_28,0.08,24.226,15576.015,-,-,
35benchmark_29,0.022,2.208,1047.467,-,-,
35benchmark_30,0.009,0.333,32.437,2974.020,-,
