model,2_1,2_2,2_3,3_1,3_2,3_3,4_1,4_2,4_3,5_1,5_2,5_3,6_1,6_2,6_3
benchmark_1,48,46,47,303,300,302,1719,1713,1709,8794,-,-,-,-,-,
benchmark_2,32,37,36,185,182,186,892,910,903,3977,-,-,-,-,-,
benchmark_3,19,23,19,76,73,69,211,215,213,605,610,617,1591,-,-,
benchmark_4,22,26,24,103,104,105,381,-,-,-,-,-,-,-,-,
benchmark_5,54,52,54,380,-,-,-,-,-,-,-,-,-,-,-,
benchmark_6,25,31,29,124,123,120,501,-,-,-,-,-,-,-,-,
benchmark_7,12,12,12,35,35,36,96,98,96,248,253,252,613,-,-,
benchmark_8,47,50,49,325,326,325,1979,-,-,-,-,-,-,-,-,
benchmark_9,22,22,22,83,82,82,272,276,277,845,-,-,-,-,-,
benchmark_10,47,50,50,336,336,340,2125,-,-,-,-,-,-,-,-,
benchmark_11,47,50,50,322,324,325,1959,1953,1965,10416,-,-,-,-,-,
benchmark_12,43,46,46,269,-,-,-,-,-,-,-,-,-,-,-,
benchmark_13,40,42,44,214,210,210,1036,-,-,-,-,-,-,-,-,
benchmark_14,39,47,49,253,249,250,1222,1244,1239,5444,-,-,-,-,-,
benchmark_15,32,37,37,180,174,179,789,802,796,3041,3066,3062,10678,-,-,
benchmark_16,25,30,28,121,122,122,460,472,468,1633,-,-,-,-,-,
benchmark_17,41,48,49,278,275,277,1586,-,-,-,-,-,-,-,-,
benchmark_18,52,50,48,334,342,346,2095,-,-,-,-,-,-,-,-,
benchmark_19,51,52,53,377,-,-,-,-,-,-,-,-,-,-,-,
benchmark_20,60,58,60,472,471,470,3295,-,-,-,-,-,-,-,-,
benchmark_21,39,46,47,238,239,241,1140,1152,1143,4651,-,-,-,-,-,
benchmark_22,37,42,39,171,172,171,696,693,695,2529,-,-,-,-,-,
benchmark_23,14,15,15,50,49,50,141,142,144,379,391,391,971,-,-,
benchmark_24,48,51,50,349,351,350,2170,-,-,-,-,-,-,-,-,
benchmark_25,52,59,56,407,-,-,-,-,-,-,-,-,-,-,-,
benchmark_26,34,37,37,209,216,208,1154,1180,1165,5356,-,-,-,-,-,
benchmark_27,37,42,42,213,211,214,1037,1040,1052,4525,-,-,-,-,-,
benchmark_28,57,55,58,427,425,426,2891,-,-,-,-,-,-,-,-,
benchmark_29,29,32,32,153,-,-,-,-,-,-,-,-,-,-,-,
benchmark_30,22,25,24,100,101,99,388,-,-,-,-,-,-,-,-,
benchmark_31,26,27,28,112,118,114,428,425,431,1434,1476,1483,4247,-,-,
benchmark_32,45,44,46,293,293,299,1676,-,-,-,-,-,-,-,-,
benchmark_33,23,24,23,106,-,-,-,-,-,-,-,-,-,-,-,
benchmark_34,33,36,34,180,-,-,-,-,-,-,-,-,-,-,-,
benchmark_35,19,19,20,73,71,71,236,235,234,739,-,-,-,-,-,
