model,2_1,2_2,2_3,3_1,3_2,3_3,4_1,4_2,4_3,5_1,5_2,5_3,6_1,6_2,6_3
benchmark_1,239ms,244ms,256ms,2087ms,2099ms,2111ms,504095ms,489441ms,469552ms,65022953ms,-,-,-,-,-,
benchmark_2,253ms,234ms,233ms,1323ms,1339ms,1366ms,222791ms,228446ms,224924ms,21576635ms,-,-,-,-,-,
benchmark_3,96ms,107ms,103ms,225ms,199ms,199ms,584ms,514ms,513ms,3611ms,3320ms,3325ms,59264ms,-,-,
benchmark_4,177ms,170ms,169ms,472ms,449ms,447ms,8901ms,-,-,-,-,-,-,-,-,
benchmark_5,333ms,338ms,339ms,12199ms,-,-,-,-,-,-,-,-,-,-,-,
benchmark_6,209ms,232ms,225ms,775ms,805ms,778ms,42935ms,-,-,-,-,-,-,-,-,
benchmark_7,99ms,104ms,105ms,227ms,226ms,229ms,458ms,462ms,488ms,3392ms,3213ms,3145ms,47311ms,-,-,
benchmark_8,285ms,292ms,293ms,3611ms,3643ms,3584ms,1099241ms,-,-,-,-,-,-,-,-,
benchmark_9,181ms,197ms,195ms,494ms,493ms,509ms,9614ms,9377ms,9285ms,427464ms,-,-,-,-,-,
benchmark_10,370ms,357ms,360ms,7379ms,7446ms,7491ms,3614553ms,-,-,-,-,-,-,-,-,
benchmark_11,281ms,264ms,275ms,2215ms,2231ms,2211ms,548822ms,536264ms,540963ms,74232261ms,-,-,-,-,-,
benchmark_12,377ms,311ms,305ms,5818ms,-,-,-,-,-,-,-,-,-,-,-,
benchmark_13,270ms,284ms,283ms,3505ms,3572ms,3588ms,1119214ms,-,-,-,-,-,-,-,-,
benchmark_14,196ms,225ms,224ms,1549ms,1616ms,1647ms,294202ms,253223ms,257010ms,30080795ms,-,-,-,-,-,
benchmark_15,205ms,205ms,207ms,600ms,535ms,541ms,15221ms,15292ms,14620ms,1245756ms,1271178ms,1254289ms,50753110ms,-,-,
benchmark_16,239ms,265ms,272ms,1005ms,1029ms,1016ms,73493ms,77182ms,81673ms,5547419ms,-,-,-,-,-,
benchmark_17,344ms,304ms,296ms,4496ms,4380ms,4392ms,1749826ms,-,-,-,-,-,-,-,-,
benchmark_18,317ms,278ms,300ms,5467ms,5612ms,5760ms,2585677ms,-,-,-,-,-,-,-,-,
benchmark_19,498ms,428ms,427ms,20284ms,-,-,-,-,-,-,-,-,-,-,-,
benchmark_20,390ms,390ms,395ms,11817ms,12134ms,11496ms,7519833ms,-,-,-,-,-,-,-,-,
benchmark_21,295ms,262ms,265ms,1376ms,1452ms,1449ms,162028ms,154549ms,152554ms,13702742ms,-,-,-,-,-,
benchmark_22,219ms,238ms,221ms,903ms,910ms,906ms,67111ms,71252ms,72132ms,5452852ms,-,-,-,-,-,
benchmark_23,96ms,105ms,104ms,223ms,212ms,212ms,463ms,466ms,456ms,2698ms,2561ms,2563ms,33104ms,-,-,
benchmark_24,269ms,286ms,281ms,3701ms,3769ms,3740ms,1283690ms,-,-,-,-,-,-,-,-,
benchmark_25,336ms,283ms,285ms,5778ms,-,-,-,-,-,-,-,-,-,-,-,
benchmark_26,244ms,247ms,247ms,1487ms,1463ms,1445ms,232291ms,224919ms,255454ms,26306222ms,-,-,-,-,-,
benchmark_27,180ms,195ms,197ms,618ms,619ms,611ms,27615ms,24355ms,30798ms,2709742ms,-,-,-,-,-,
benchmark_28,405ms,380ms,395ms,17479ms,17870ms,19636ms,17014554ms,-,-,-,-,-,-,-,-,
benchmark_29,308ms,261ms,261ms,3524ms,-,-,-,-,-,-,-,-,-,-,-,
benchmark_30,215ms,222ms,216ms,803ms,818ms,806ms,50609ms,-,-,-,-,-,-,-,-,
benchmark_31,87ms,95ms,97ms,164ms,173ms,166ms,394ms,351ms,354ms,1131ms,1200ms,1204ms,6705ms,-,-,
benchmark_32,211ms,209ms,206ms,864ms,860ms,849ms,38624ms,-,-,-,-,-,-,-,-,
benchmark_33,314ms,325ms,334ms,8590ms,-,-,-,-,-,-,-,-,-,-,-,
benchmark_34,260ms,284ms,293ms,7581ms,-,-,-,-,-,-,-,-,-,-,-,
benchmark_35,131ms,141ms,141ms,324ms,306ms,312ms,3676ms,3508ms,3521ms,172615ms,-,-,-,-,-,
