model, 2, 3, 4, 5, 6
Banking1,17.333333333333332,57.333333333333336,158.0,212.0,212.0,
Banking2,12.0,37.666666666666664,99.66666666666667,236.33333333333334,529.0,
CommProtocol,19.666666666666668,52.0,103.33333333333333,169.33333333333334,241.0,
Concurrency,6.0,8.0,8.0,8.0,8.0,
Healthcare1,31.666666666666668,108.33333333333333,340.3333333333333,873.6666666666666,1828.6666666666667,
Healthcare2,18.0,67.0,229.0,722.3333333333334,2052.0,
Healthcare3,38.333333333333336,214.66666666666666,1031.6666666666667,4326.0,16241.0,
Healthcare4,50.333333333333336,304.3333333333333,1682.0,8294.0,-,
Insurance,534.0,6953.666666666667,75676.0,-,-,
NetworkMgmt,117.66666666666667,1118.0,6480.333333333333,30762.666666666668,119219.0,
ProcessorComm1,30.666666666666668,164.66666666666666,645.3333333333334,2601.6666666666665,9329.0,
ProcessorComm2,35.666666666666664,190.0,902.6666666666666,3917.3333333333335,15305.0,
Services,110.66666666666667,927.6666666666666,6919.0,38394.0,164999.0,
Storage1,18.0,25.0,25.0,25.0,25.0,
Storage2,20.333333333333332,77.33333333333333,221.0,485.0,485.0,
Storage3,52.333333333333336,241.66666666666666,765.0,2182.0,5321.0,
Storage4,124.66666666666667,913.3333333333334,6192.333333333333,36601.333333333336,185212.0,
Storage5,220.0,1881.0,13342.666666666666,79099.0,400356.0,
SystemMgmt,18.0,59.666666666666664,161.0,360.6666666666667,654.0,
Telecom,31.333333333333332,127.33333333333333,413.0,1156.3333333333333,2672.0,
35benchmark_31,27.0,114.66666666666667,428.0,1464.3333333333333,4247.0,
35benchmark_32,45.0,295.0,1676.0,-,-,
35benchmark_33,23.333333333333332,106.0,-,-,-,
35benchmark_34,34.333333333333336,180.0,-,-,-,
35benchmark_35,19.333333333333332,71.66666666666667,235.0,739.0,-,
35benchmark_1,47.0,301.6666666666667,1713.6666666666667,8794.0,-,
35benchmark_2,35.0,184.33333333333334,901.6666666666666,3977.0,-,
35benchmark_3,20.333333333333332,72.66666666666667,213.0,610.6666666666666,1591.0,
35benchmark_4,24.0,104.0,381.0,-,-,
35benchmark_5,53.333333333333336,380.0,-,-,-,
35benchmark_6,28.333333333333332,122.33333333333333,501.0,-,-,
35benchmark_7,12.0,35.333333333333336,96.66666666666667,251.0,613.0,
35benchmark_8,48.666666666666664,325.3333333333333,1979.0,-,-,
35benchmark_9,22.0,82.33333333333333,275.0,845.0,-,
35benchmark_10,49.0,337.3333333333333,2125.0,-,-,
35benchmark_11,49.0,323.6666666666667,1959.0,10416.0,-,
35benchmark_12,45.0,269.0,-,-,-,
35benchmark_13,42.0,211.33333333333334,1036.0,-,-,
35benchmark_14,45.0,250.66666666666666,1235.0,5444.0,-,
35benchmark_15,35.333333333333336,177.66666666666666,795.6666666666666,3056.3333333333335,10678.0,
35benchmark_16,27.666666666666668,121.66666666666667,466.6666666666667,1633.0,-,
35benchmark_17,46.0,276.6666666666667,1586.0,-,-,
35benchmark_18,50.0,340.6666666666667,2095.0,-,-,
35benchmark_19,52.0,377.0,-,-,-,
35benchmark_20,59.333333333333336,471.0,3295.0,-,-,
35benchmark_21,44.0,239.33333333333334,1145.0,4651.0,-,
35benchmark_22,39.333333333333336,171.33333333333334,694.6666666666666,2529.0,-,
35benchmark_23,14.666666666666666,49.666666666666664,142.33333333333334,387.0,971.0,
35benchmark_24,49.666666666666664,350.0,2170.0,-,-,
35benchmark_25,55.666666666666664,407.0,-,-,-,
35benchmark_26,36.0,211.0,1166.3333333333333,5356.0,-,
35benchmark_27,40.333333333333336,212.66666666666666,1043.0,4525.0,-,
35benchmark_28,56.666666666666664,426.0,2891.0,-,-,
35benchmark_29,31.0,153.0,-,-,-,
35benchmark_30,23.666666666666668,100.0,388.0,-,-,
