model, 2, 3, 4, 5, 6
Banking1,0.19366666666666665,0.31233333333333335,0.209,0.336,0.218,
Banking2,0.09666666666666666,0.116,0.16433333333333333,0.30733333333333335,0.531,
CommProtocol,0.24866666666666667,0.28633333333333333,0.21866666666666665,0.5313333333333334,0.7193333333333333,
Concurrency,0.09900000000000002,0.105,0.18233333333333335,0.09166666666666667,0.2803333333333333,
Healthcare1,0.215,0.26599999999999996,0.22866666666666666,0.5256666666666667,0.6356666666666667,
Healthcare2,0.09900000000000002,0.15633333333333335,0.219,0.375,0.872,
Healthcare3,0.104,0.20299999999999999,1.6563333333333332,38.39066666666667,1113.22,
Healthcare4,0.10433333333333333,0.25,4.901333333333333,319.781,-,
Insurance,0.16166666666666665,0.6689999999999999,12.241,-,-,
NetworkMgmt,0.073,0.16133333333333333,0.47933333333333333,4.542000000000001,43.531,
ProcessorComm1,0.07766666666666668,0.11433333333333333,0.21866666666666668,1.391,6.343,
ProcessorComm2,0.151,0.25,1.7606666666666666,28.56233333333334,564.407,
Services,0.19800000000000004,0.4063333333333334,1.8023333333333333,11.458666666666668,118.907,
Storage1,0.083,0.08333333333333333,0.08333333333333333,0.078,0.078,
Storage2,0.09933333333333333,0.09466666666666668,0.12533333333333332,0.162,0.12933333333333333,
Storage3,0.11466666666666665,0.19266666666666668,0.33866666666666667,1.4116666666666668,6.203,
Storage4,0.08833333333333333,0.20833333333333334,1.5156666666666665,27.24466666666667,694.767,
Storage5,0.20333333333333334,0.7503333333333333,13.515333333333333,408.2873333333334,10365.861,
SystemMgmt,0.08333333333333333,0.068,0.09400000000000001,0.135,0.204,
Telecom,0.08333333333333333,0.078,0.11499999999999999,0.20299999999999999,0.453,
35benchmark_31,0.09300000000000001,0.16766666666666666,0.36633333333333334,1.1783333333333335,6.705,
35benchmark_32,0.20866666666666667,0.8576666666666667,38.624,-,-,
35benchmark_33,0.32433333333333336,8.59,-,-,-,
35benchmark_34,0.27899999999999997,7.581,-,-,-,
35benchmark_35,0.1376666666666667,0.314,3.5683333333333334,172.615,-,
35benchmark_1,0.24633333333333332,2.099,487.6960000000001,65022.953,-,
35benchmark_2,0.24,1.342666666666667,225.38699999999997,21576.635,-,
35benchmark_3,0.102,0.20766666666666667,0.5369999999999999,3.4186666666666667,59.264,
35benchmark_4,0.17200000000000001,0.456,8.901,-,-,
35benchmark_5,0.33666666666666667,12.199,-,-,-,
35benchmark_6,0.222,0.786,42.935,-,-,
35benchmark_7,0.10266666666666667,0.22733333333333336,0.4693333333333333,3.25,47.311,
35benchmark_8,0.29,3.6126666666666662,1099.241,-,-,
35benchmark_9,0.19099999999999998,0.49866666666666665,9.425333333333333,427.464,-,
35benchmark_10,0.36233333333333334,7.438666666666666,3614.553,-,-,
35benchmark_11,0.2733333333333334,2.219,542.0163333333334,74232.261,-,
35benchmark_12,0.33099999999999996,5.818,-,-,-,
35benchmark_13,0.27899999999999997,3.5549999999999997,1119.214,-,-,
35benchmark_14,0.215,1.604,268.145,30080.795,-,
35benchmark_15,0.20566666666666666,0.5586666666666668,15.044333333333332,1257.0743333333332,50753.11,
35benchmark_16,0.25866666666666666,1.0166666666666666,77.44933333333334,5547.419,-,
35benchmark_17,0.31466666666666665,4.422666666666667,1749.826,-,-,
35benchmark_18,0.29833333333333334,5.6129999999999995,2585.677,-,-,
35benchmark_19,0.451,20.284,-,-,-,
35benchmark_20,0.39166666666666666,11.815666666666667,7519.833,-,-,
35benchmark_21,0.27399999999999997,1.4256666666666666,156.37699999999998,13702.742,-,
35benchmark_22,0.22599999999999998,0.9063333333333334,70.165,5452.852,-,
35benchmark_23,0.10166666666666667,0.21566666666666667,0.46166666666666667,2.6073333333333335,33.104,
35benchmark_24,0.2786666666666667,3.736666666666667,1283.69,-,-,
35benchmark_25,0.3013333333333333,5.778,-,-,-,
35benchmark_26,0.246,1.465,237.55466666666666,26306.222,-,
35benchmark_27,0.19066666666666668,0.616,27.589333333333332,2709.742,-,
35benchmark_28,0.39333333333333337,18.328333333333333,17014.554,-,-,
35benchmark_29,0.27666666666666667,3.524,-,-,-,
35benchmark_30,0.21766666666666667,0.809,50.609,-,-,
