model, 2, 3, 4, 5, 6
20benchmark_1,55,204,211,212,-,
20benchmark_2,51,104,248,360,523,
20benchmark_3,86,213,221,230,240,
20benchmark_4,7,8,8,8,-,
20benchmark_5,93,584,671,1394,1776,
20benchmark_6,143,171,571,1581,1978,
20benchmark_7,153,656,1004,-,-,
20benchmark_8,252,1039,1644,-,-,
20benchmark_9,5240,6866,-,-,-,
20benchmark_10,1033,1125,-,-,-,
20benchmark_11,85,1815,2409,2588,-,
20benchmark_12,124,788,3511,3880,-,
20benchmark_13,1822,4622,6855,-,-,
20benchmark_14,25,25,25,-,-,
20benchmark_15,436,468,484,486,-,
20benchmark_16,355,1100,1712,2106,-,
20benchmark_17,758,898,-,-,-,
20benchmark_18,966,1879,-,-,-,
20benchmark_19,47,390,487,488,540,
20benchmark_20,290,1085,1674,2285,2565,
35benchmark_31,140,512,1519,4095,4185,
35benchmark_32,147,1046,1631,-,-,
35benchmark_33,134,350,444,-,-,
35benchmark_34,128,527,838,-,-,
35benchmark_35,41,184,626,1737,2183,
35benchmark_1,200,1084,1680,-,-,
35benchmark_2,153,872,2721,3852,-,
35benchmark_3,64,265,626,1157,1571,
35benchmark_4,118,337,892,1323,-,
35benchmark_5,210,1237,2442,-,-,
35benchmark_6,154,592,1510,1644,-,
35benchmark_7,23,63,149,413,604,
35benchmark_8,183,1040,1988,-,-,
35benchmark_9,72,201,592,829,-,
35benchmark_10,301,1246,2063,-,-,
35benchmark_11,291,1384,1885,-,-,
35benchmark_12,317,977,1465,-,-,
35benchmark_13,121,719,1040,-,-,
35benchmark_14,143,875,1163,-,-,
35benchmark_15,174,885,2443,2992,-,
35benchmark_16,173,507,1175,1614,-,
35benchmark_17,163,1083,1514,-,-,
35benchmark_18,150,1309,2145,-,-,
35benchmark_19,188,1262,2535,-,-,
35benchmark_20,248,1576,3278,-,-,
35benchmark_21,174,765,1070,-,-,
35benchmark_22,143,691,1953,2509,-,
35benchmark_23,50,167,342,782,956,
35benchmark_24,199,1190,2105,-,-,
35benchmark_25,228,1467,2673,-,-,
35benchmark_26,190,711,1111,-,-,
35benchmark_27,162,720,1004,-,-,
35benchmark_28,194,1497,2888,-,-,
35benchmark_29,102,589,681,-,-,
35benchmark_30,91,519,1108,1362,-,
