model, 2, 3, 4, 5, 6
20benchmark_1,0.041,0.075,0.203,0.172,-,
20benchmark_2,0.005,0.026,0.14,0.746,0.552,
20benchmark_3,0.022,0.046,0.06,0.089,0.097,
20benchmark_4,0.002,0.002,0.002,0.003,-,
20benchmark_5,0.038,0.766,3.497,13.844,0.128,
20benchmark_6,0.017,0.124,3.7,25.702,0.277,
20benchmark_7,0.26,4.822,1.716,-,-,
20benchmark_8,1.242,24.907,5.232,-,-,
20benchmark_9,1109.639,0.184,-,-,-,
20benchmark_10,3.533,0.028,-,-,-,
20benchmark_11,0.146,40.805,82.261,1.133,-,
20benchmark_12,0.199,32.527,354.299,30.696,-,
20benchmark_13,109.059,1158.584,1.546,-,-,
20benchmark_14,0.003,0.003,0.004,-,-,
20benchmark_15,0.164,0.181,0.185,0.002,-,
20benchmark_16,1.137,13.267,35.628,1.124,-,
20benchmark_17,3.06,0.041,-,-,-,
20benchmark_18,18.666,0.536,-,-,-,
20benchmark_19,0.01,0.256,0.293,0.397,0.043,
20benchmark_20,0.544,8.85,21.804,51.049,0.109,
35benchmark_31,0.124,4.658,112.642,387.425,5.128,
35benchmark_32,0.833,42.754,26.461,-,-,
35benchmark_33,0.738,17.511,3728.341,-,-,
35benchmark_34,0.92,25.785,4224.439,-,-,
35benchmark_35,0.022,0.655,21.826,314.715,7019.531,
35benchmark_1,2.624,84.99,387.032,-,-,
35benchmark_2,1.218,106.996,1285.831,27386.426,-,
35benchmark_3,0.026,0.732,6.863,29.991,86.581,
35benchmark_4,0.163,3.401,36.388,739.536,-,
35benchmark_5,5.909,334.57,9746.515,-,-,
35benchmark_6,0.637,20.657,139.465,3794.366,-,
35benchmark_7,0.004,0.021,0.274,3.791,51.554,
35benchmark_8,2.498,122.484,1378.519,-,-,
35benchmark_9,0.045,0.952,16.906,591.422,-,
35benchmark_10,9.34,216.36,4424.485,-,-,
35benchmark_11,6.475,135.139,530.214,-,-,
35benchmark_12,7.874,93.197,2944.278,-,-,
35benchmark_13,0.921,33.879,1344.260,-,-,
35benchmark_14,1.055,31.739,218.562,-,-,
35benchmark_15,0.985,64.737,399.417,1322.331,-,
35benchmark_16,0.75,13.757,150.687,7466.121,-,
35benchmark_17,2.503,101.81,2123.275,-,-,
35benchmark_18,2.71,232.172,3452.056,-,-,
35benchmark_19,5.619,436.52,18758.388,-,-,
35benchmark_20,9.256,640.04,9105.560,-,-,
35benchmark_21,1.171,21.03,120.064,-,-,
35benchmark_22,0.652,36.25,354.086,7223.053,-,
35benchmark_23,0.012,0.14,1.425,7.209,39.534,
35benchmark_24,3.485,172.262,1533.089,-,-,
35benchmark_25,6.357,363.152,2981.141,-,-,
35benchmark_26,1.429,24.812,289.102,-,-,
35benchmark_27,0.716,12.925,22.301,-,-,
35benchmark_28,7.068,631.988,19065.435,-,-,
35benchmark_29,0.609,17.58,1325.182,-,-,
35benchmark_30,0.237,12.258,99.892,3926.175,-,
